FACTURAS
FOLIO,TIPO,NUMERO DE CLIENTE,FECHA DE ELABORACION,RAZON SOCIAL,MONTO TOTAL,MONEDA,CORREOS DE ENTREGA,FECHA DE ENVIO,ENVIADO,TIMBRADO,ERRORES EN TIMBRADO
FA0003165,VARIOS,4750	,2018-05-08,PROVEEDOR INTEGRAL DE PRECIOS S.A. DE C.V.,=MONEDA(544.85),L,insumosm@piplatam.mx;facturaspip@piplatam.com;pontiveros@piplatam.mx;acalvo@grupobmv.com.mx,2018-05-08,SI,SI,NO
FA0003166,VARIOS,293	,2018-05-08,OPERADORA COVAF S.A. DE C.V. S.O.L.F.I.,=MONEDA(21793.85),L,facture@covaf.com;dulce.sanchez@covaf.com;mireya.valdepena@covaf.com;acalvo@grupobmv.com.mx,2018-05-08,SI,SI,NO
FA0003167,EVENTOS,821	,2018-05-10,CORPORATIVO MEXICANO DEL MERCADO DE VALORESS.A. DE C.V.,=MONEDA(4292.00),L,gesquivel@grupobmv.com.mx;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003168,EVENTOS,2616	,2018-05-10,SIGNUM RESEARCHS.A. DE C.V.,=MONEDA(4292.00),L,manuel.gonzalez@signumresearch.com;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003169,EVENTOS,2616	,2018-05-10,SIGNUM RESEARCHS.A. DE C.V.,=MONEDA(4292.00),L,cecilia.capetillo@signumresearch.com;armando.rodriguez@signumresearch.com;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003170,EVENTOS,2443	,2018-05-10,VERUM CALIFICADORA DE VALORES SAPI DE CV,=MONEDA(4292.00),L,sergio.arriola@verum.mx;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003171,EVENTOS,772	,2018-05-10,COMPASS INVESTMENTS DE MEXICO S.A. DE C.V. S.O.F.I.,=MONEDA(3700.00),L,orlando.zelaya@cgcompass.com;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003172,EVENTOS,10415	,2018-05-10,BWC INDEPENDIENTE S.A. DE C.V.,=MONEDA(4292.00),L,jrodriguez@bwc.com.mx;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003173,,4792	,2018-05-10,EDIMEX ECONOMATICA S.A. DE C.V.,=MONEDA(4292.00),L,alex@edimex.com.mx;alex@economatica.com.mx;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003174,EVENTOS,2616	,2018-05-10,SIGNUM RESEARCHS.A. DE C.V.,=MONEDA(4292.00),L,juanita.villegas@signumresearch.com;armando.rodriguez@signumresearch.com;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
FA0003175,EVENTOS,2616	,2018-05-10,SIGNUM RESEARCHS.A. DE C.V.,=MONEDA(4292.00),L,armelia.reyes@signumresearch.com;acalvo@grupobmv.com.mx,2018-05-10,SI,SI,NO
